id	role	length	pIRS	pIRS_raw	tolerance_drop_pct	fold_vs_ProteinA_Z	risk_band	n_foreign_epitopes	max_promiscuity	pop_at_risk_pct
TT_p2_region	positive_control	50	1.46	1.46	0.0	11.23	n/a (control)	5	4	51.3
ProteinL_B1	benchmark_ligand	63	0.71	0.71	0.0	5.46	high	4	3	39.3
AAVX_VHH	test_article	126	0.38	0.38	0.0	2.92	elevated	4	6	28.5
TT_p30_region	positive_control	50	0.28	0.28	0.0	2.15	n/a (control)	1	2	14.0
VHH_7D12	class_comparator	124	0.26	0.26	0.0	2.0	modestly-elevated	3	3	31.0
Caplacizumab_VHH	clinical_anchor	128	0.15	0.41	63.4	1.15	modestly-elevated	5	5	19.4
ProteinA_Z	benchmark_ligand	58	0.13	0.13	0.0	1.0	comparable-to-benchmark	2	2	7.5
ProteinA_B_native	benchmark_ligand	58	0.13	0.13	0.0	1.0	comparable-to-benchmark	1	2	7.5
HumanVH3_23_germline	negative_control_self	98	0.0	0.37	100.0	0.0	n/a (control)	0	6	0.0
HSA_D1	negative_control_self	130	0.0	0.13	100.0	0.0	n/a (control)	0	2	0.0
