submission_no,doc_type,url,n_chars,txt_path,fetched_at
DEN250032,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN250032.pdf,11187,txt/DEN250032.txt,2026-09-22T17:19:04
DEN250032,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf25/DEN250032.pdf,15195,txt/DEN250032.txt,2026-09-22T17:19:04
DEN250049,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf25/DEN250049.pdf,19689,txt/DEN250049.txt,2026-09-22T17:19:06
DEN240016,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN240016.pdf,49560,txt/DEN240016.txt,2026-09-22T17:19:10
DEN240016,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/DEN240016.pdf,17929,txt/DEN240016.txt,2026-09-22T17:19:10
DEN240020,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN240020.pdf,24706,txt/DEN240020.txt,2026-09-22T17:19:13
DEN240020,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/DEN240020.pdf,14399,txt/DEN240020.txt,2026-09-22T17:19:13
DEN240025,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN240025.pdf,7288,txt/DEN240025.txt,2026-09-22T17:19:16
DEN240025,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/DEN240025.pdf,14273,txt/DEN240025.txt,2026-09-22T17:19:16
DEN240029,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN240029.pdf,62133,txt/DEN240029.txt,2026-09-22T17:19:19
DEN240029,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/DEN240029.pdf,20329,txt/DEN240029.txt,2026-09-22T17:19:19
DEN240032,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/DEN240032.pdf,11560,txt/DEN240032.txt,2026-09-22T17:19:51
DEN240035,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN240035.pdf,32234,txt/DEN240035.txt,2026-09-22T17:19:54
DEN240035,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/DEN240035.pdf,12717,txt/DEN240035.txt,2026-09-22T17:19:54
DEN240045,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN240045.pdf,9,txt/DEN240045.txt,2026-09-22T17:19:57
DEN240045,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/DEN240045.pdf,13388,txt/DEN240045.txt,2026-09-22T17:19:57
DEN240067,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/DEN240067.pdf,13286,txt/DEN240067.txt,2026-09-22T17:20:00
DEN240068,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN240068.pdf,13528,txt/DEN240068.txt,2026-09-22T17:20:03
DEN240068,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/DEN240068.pdf,14204,txt/DEN240068.txt,2026-09-22T17:20:03
DEN240080,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN240080.pdf,39436,txt/DEN240080.txt,2026-09-22T17:20:06
DEN240080,denovo_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/DEN240080.pdf,14199,txt/DEN240080.txt,2026-09-22T17:20:06
K240197,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/K240197.pdf,54904,txt/K240197.txt,2026-09-22T17:20:11
K240197,510k_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K240197.pdf,57693,txt/K240197.txt,2026-09-22T17:20:11
K240217,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/K240217.pdf,28033,txt/K240217.txt,2026-09-22T17:20:16
K240217,510k_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K240217.pdf,48852,txt/K240217.txt,2026-09-22T17:20:16
K240627,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/K240627.pdf,97865,txt/K240627.txt,2026-09-22T17:20:26
K240627,510k_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K240627.pdf,89792,txt/K240627.txt,2026-09-22T17:20:26
K241074,510k_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241074.pdf,29955,txt/K241074.txt,2026-09-22T17:20:30
K241580,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/K241580.pdf,78208,txt/K241580.txt,2026-09-22T17:20:34
K241580,510k_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241580.pdf,57904,txt/K241580.txt,2026-09-22T17:20:34
K241652,decision_summary,https://www.accessdata.fda.gov/cdrh_docs/reviews/K241652.pdf,55885,txt/K241652.txt,2026-09-22T17:20:39
K241652,510k_summary,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241652.pdf,61089,txt/K241652.txt,2026-09-22T17:20:39
